,Unnamed: 0,wellName,MD,SW,PredictedSw
379,14481,15/9-F-11 B,3407.7,0.949,0.5650135
380,14482,15/9-F-11 B,3407.8,1.0,0.5675818
381,14483,15/9-F-11 B,3407.9,1.0,0.5630984
382,14484,15/9-F-11 B,3408.0,1.0,0.5692013
383,14485,15/9-F-11 B,3408.1,0.964,0.55417925
384,14486,15/9-F-11 B,3408.2,0.812,0.56179917
385,14487,15/9-F-11 B,3408.3,0.7190000000000001,0.55308986
386,14488,15/9-F-11 B,3408.4,0.648,0.5505889
387,14489,15/9-F-11 B,3408.5,0.595,0.53724056
388,14490,15/9-F-11 B,3408.6,0.561,0.52842075
389,14501,15/9-F-11 B,3409.7,0.611,0.4789639
390,14502,15/9-F-11 B,3409.8,0.6509999999999999,0.4776353
391,14504,15/9-F-11 B,3410.0,0.7490000000000001,0.48655042
392,14505,15/9-F-11 B,3410.1,0.7959999999999999,0.48827344
393,14506,15/9-F-11 B,3410.2,0.8440000000000001,0.48294428
394,14507,15/9-F-11 B,3410.3,0.873,0.48653588
395,14508,15/9-F-11 B,3410.4,0.8809999999999999,0.48890248
396,14509,15/9-F-11 B,3410.5,0.858,0.48340595
397,14510,15/9-F-11 B,3410.6,0.8140000000000001,0.48841158
398,14511,15/9-F-11 B,3410.7,0.763,0.48889387
399,14512,15/9-F-11 B,3410.8,0.728,0.4944925
400,14514,15/9-F-11 B,3411.0,0.735,0.4826329
401,14515,15/9-F-11 B,3411.1,0.764,0.495033
402,14516,15/9-F-11 B,3411.2,0.799,0.5014067
403,14517,15/9-F-11 B,3411.3,0.804,0.50174916
404,14518,15/9-F-11 B,3411.4,0.821,0.5045846
405,14519,15/9-F-11 B,3411.5,0.823,0.51127416
406,14520,15/9-F-11 B,3411.6,0.858,0.5135941
407,14521,15/9-F-11 B,3411.7,0.915,0.5117362
408,14522,15/9-F-11 B,3411.8,0.977,0.5199955
409,14523,15/9-F-11 B,3411.9,1.0,0.5243125
410,14524,15/9-F-11 B,3412.0,1.0,0.52611375
411,14525,15/9-F-11 B,3412.1,1.0,0.53695357
412,14526,15/9-F-11 B,3412.2,1.0,0.5318939
413,14527,15/9-F-11 B,3412.3,1.0,0.53961927
414,14528,15/9-F-11 B,3412.4,0.987,0.54627144
415,14529,15/9-F-11 B,3412.5,0.923,0.535163
416,14530,15/9-F-11 B,3412.6,0.947,0.5399916
417,14531,15/9-F-11 B,3412.7,1.0,0.5487257
418,14532,15/9-F-11 B,3412.8,1.0,0.54385984
419,14533,15/9-F-11 B,3412.9,1.0,0.5495668
420,14534,15/9-F-11 B,3413.0,1.0,0.54962385
421,14535,15/9-F-11 B,3413.1,1.0,0.5580049
422,14536,15/9-F-11 B,3413.2,1.0,0.57270604
423,14537,15/9-F-11 B,3413.3,1.0,0.5848816
424,14538,15/9-F-11 B,3413.4,1.0,0.59962785
425,14539,15/9-F-11 B,3413.5,1.0,0.5973137
426,14540,15/9-F-11 B,3413.6,1.0,0.61050195
427,14544,15/9-F-11 B,3414.0,1.0,0.62766033
428,14545,15/9-F-11 B,3414.1,1.0,0.6395578
429,14546,15/9-F-11 B,3414.2,1.0,0.65205276
430,14547,15/9-F-11 B,3414.3,1.0,0.6646903
431,14548,15/9-F-11 B,3414.4,1.0,0.68283063
432,14549,15/9-F-11 B,3414.5,1.0,0.6889098
433,14550,15/9-F-11 B,3414.6,1.0,0.6968489
434,14551,15/9-F-11 B,3414.7,1.0,0.7071855
435,14552,15/9-F-11 B,3414.8,1.0,0.7356797
436,14553,15/9-F-11 B,3414.9,1.0,0.7741417
437,14554,15/9-F-11 B,3415.0,1.0,0.80231434
438,14555,15/9-F-11 B,3415.1,1.0,0.81389934
439,14556,15/9-F-11 B,3415.2,1.0,0.8361311
440,14557,15/9-F-11 B,3415.3,1.0,0.858921
441,14558,15/9-F-11 B,3415.4,1.0,0.88205594
442,14559,15/9-F-11 B,3415.5,1.0,0.89061135
443,14560,15/9-F-11 B,3415.6,1.0,0.90494543
444,14561,15/9-F-11 B,3415.7,1.0,0.9189846
445,14562,15/9-F-11 B,3415.8,1.0,0.9416639
446,14564,15/9-F-11 B,3416.0,1.0,0.9683538
447,14572,15/9-F-11 B,3416.8,1.0,0.96520716
448,14573,15/9-F-11 B,3416.9,1.0,0.9567931
449,14574,15/9-F-11 B,3417.0,1.0,0.9582972
450,14575,15/9-F-11 B,3417.1,1.0,0.97441596
451,14576,15/9-F-11 B,3417.2,1.0,0.9892581
452,14577,15/9-F-11 B,3417.3,1.0,0.9948956
453,14578,15/9-F-11 B,3417.4,1.0,1.0015612
